star_name,event_id,frequency,time,amplitude,uncertainty,snr,intensity,pol_amplitude,3_sigma_limit,max_pol_fraction
J001309+0535.5,27, f090,1653127061.0,157.6,28.0,5.628571428571428,157.6,68.3,111.52,0.7076
J001309+0535.5,27, f150,1653127068.0,168.7,34.6,4.875722543352601,168.7,38.9,116.79,0.6923
J001309+0535.5,27, f150,1653127073.0,259.0,58.9,4.397283531409168,259.0,38.9,116.79,0.4509
J011636-0229.8,7, f090,1527762967.0,169.0,32.2,5.248447204968944,169.0,47.36,54.91,0.3249
J011636-0229.8,7, f150,1527762970.0,165.6,39.5,4.192405063291139,165.6,25.24,62.85,0.3795
J011636-0229.8,7, f090,1527763310.0,187.6,26.8,7.0,187.6,47.36,54.91,0.2927
J033646+0035.1,15, f150,1565444079.0,387.7,50.5,7.677227722772277,387.7,47.61,52.52,0.1355
J033646+0035.1,15, f150,1565444112.0,384.1,50.4,7.621031746031747,384.1,47.61,52.52,0.1367
J033646+0035.1,15, f150,1565444131.0,222.2,35.4,6.27683615819209,222.2,47.61,52.52,0.2363
J033646+0035.1,15, f090,1565444136.0,521.6,29.0,17.986206896551725,521.6,57.75,45.13,0.0865
J033646+0035.1,15, f150,1565444140.0,227.7,35.4,6.432203389830509,227.7,47.61,52.52,0.2306
J033646+0035.1,15, f090,1565444142.0,522.1,29.1,17.941580756013746,522.1,57.75,45.13,0.0864
J033646+0035.1,15, f090,1565529935.0,281.3,28.1,10.01067615658363,281.3,57.75,45.13,0.1604
J033646+0035.1,15, f150,1565529937.0,133.6,38.0,3.5157894736842104,133.6,47.61,52.52,0.3931
J033646+0035.1,15, f090,1565529942.0,282.7,28.0,10.096428571428572,282.7,57.75,45.13,0.1596
J033646+0035.1,15, f150,1565529954.0,133.6,38.1,3.506561679790026,133.6,47.61,52.52,0.3931
J033646+0035.1,15, f150,1565530292.0,144.6,41.9,3.451073985680191,144.6,47.61,52.52,0.3632
J033646+0035.1,15, f090,1565530293.0,246.0,28.9,8.512110726643598,246.0,57.75,45.13,0.1835
J033646+0035.1,15, f150,1565530296.0,144.8,42.0,3.447619047619048,144.8,47.61,52.52,0.3627
J033646+0035.1,15, f090,1565530297.0,246.2,28.9,8.519031141868512,246.2,57.75,45.13,0.1833
J033646+0035.1,15, f090,1565789900.0,144.8,37.0,3.913513513513514,144.8,14.72,61.77,0.4266
J033646+0035.1,15, f090,1565789930.0,147.2,37.0,3.978378378378378,147.2,14.72,61.77,0.4196
J033646+0035.1,15, f090,1565790195.0,103.6,28.3,3.6607773851590104,103.6,14.72,61.77,0.5962
J033646+0035.1,15, f150,1565790197.0,103.1,34.3,3.0058309037900877,103.1,52.24,64.35,0.6241
J033646+0035.1,15, f150,1565790201.0,106.9,34.3,3.1166180758017497,106.9,52.24,64.35,0.6019
J033646+0035.1,15, f090,1565790206.0,101.5,28.3,3.586572438162544,101.5,14.72,61.77,0.6086
