star_name,event_id,peak_utc,rise_hr,fall_hr
J175954+104419,1,2017-08-05 03:26:35,24,48
J142555+141201,2a,2017-09-17 16:54:14,19,24
J142556+141210,2b,2018-11-21 13:09:28,0.08,24
J203622+121538,3,2017-10-08 02:26:16,0.07,24
J224500-331529,4,2017-10-08 22:19:15,0.07,23
J225303+165023,5a,2017-11-15 00:47:40,0.08,0.08
J225302+165012,5b,2019-06-06 08:22:39,0.08,0.08
J051922-072036,6a,2017-11-24 02:53:11,120,48
J051921-072041,6b,2018-10-21 10:48:30,0.05,192
J011636-022950,7,2018-05-31 10:37:35,48,0.07
J200800+160955,8,2018-09-11 23:43:42,0.1,24
J192832-350757,9a,2018-10-04 02:19:22,24,0.07
J192832-350757,9b,2019-08-10 23:21:59,0.06,24
J130046+122233,10,2018-10-25 12:50:17,0.08,19
J050048-571534,11,2018-11-08 09:06:50,0.08,0.17
J085814+194546,12,2018-11-15 10:21:42,0.08,0.10
J101936+195218,13,2018-12-21 09:19:05,24,21
J130530+124936,14a,2019-03-13 08:38:52,48,144
J130529+124937,14b,2019-08-02 19:18:16,0.08,120
J033647+003511,15a,2019-08-10 13:35:32,48,96
J033647+003512,15b,2019-09-26 05:11:56,48,0.07
J033647+003510,15c,2021-09-29 10:19:17,0.07,120
J125045+113329,16,2019-09-17 15:39:05,0.07,0.07
J174147+022842,17,2019-10-26 16:57:32,23,23
J181516-492748,18,2019-11-08 22:27:58,0.17,0.07
J180723+194223,19,2019-11-13 18:12:29,125,288
J040942-075325,20,2019-12-07 00:41:54,0.07,0.07
J193939-060344,21,2020-06-18 09:20:21,125,120
J035830-544640,22,2020-09-05 05:55:29,240,600
J165122-005006,23,2020-09-06 19:44:50,18,23
J173353+165508,24,2020-10-17 18:47:17,0.10,3
J204747-363544,25,2020-11-13 17:59:00,24,72
J194951-363523,26,2021-05-19 05:09:51,480,0
J001309+053532,27,2022-05-21 10:00:08,96,72
