star_name,frequency,time,amplitude,uncertainty,snr
J175954+1044.3, f150,1501903163.0,106.4,28.9,3.6816608996539797
J175954+1044.3, f090,1501903653.0,147.5,21.4,6.892523364485982
J175954+1044.3, f150,1501903656.0,229.3,28.4,8.073943661971832
J175954+1044.3, f150,1501903659.0,292.9,38.3,7.6475195822454305
J175954+1044.3, f220,1501903659.0,290.9,85.4,3.406323185011709
J142555+1412.0, f090,1505666993.0,280.9,31.5,8.917460317460316
J142555+1412.0, f150,1505667369.0,544.7,52.9,10.29678638941399
J142555+1412.0, f090,1505667373.0,352.4,23.6,14.932203389830507
J142555+1412.0, f090,1505681456.0,110.0,16.9,6.508875739644971
J142555+1412.0, f090,1505682038.0,78.4,24.1,3.2531120331950207
J142555+1412.0, f090,1505755026.0,131.5,15.4,8.53896103896104
J142555+1412.0, f150,1505755576.0,108.3,20.9,5.181818181818182
J142555+1412.0, f090,1505768142.0,64.6,15.5,4.16774193548387
J225302+1650.4, f090,1507162863.0,79.3,21.2,3.740566037735849
J225302+1650.4, f150,1507251240.0,74.7,24.8,3.0120967741935485
J203622+1215.6, f150,1507429393.0,177.0,30.7,5.765472312703583
J203622+1215.6, f090,1507429400.0,213.4,23.2,9.198275862068966
J203622+1215.6, f090,1507429756.0,144.0,26.9,5.353159851301116
J203622+1215.6, f150,1507429761.0,133.7,33.4,4.002994011976048
J224500-3315.4, f220,1507501072.0,231.3,52.6,4.397338403041825
J224500-3315.4, f090,1507501072.0,243.4,15.6,15.602564102564104
J224500-3315.4, f150,1507501072.0,170.2,20.4,8.343137254901961
J224500-3315.4, f150,1507501080.0,176.1,27.1,6.498154981549815
J224500-3315.4, f150,1507501357.0,225.3,21.9,10.287671232876713
J224500-3315.4, f090,1507501359.0,239.4,15.2,15.750000000000002
J224500-3315.4, f150,1507502512.0,151.1,25.3,5.972332015810276
J224500-3315.4, f150,1507502869.0,94.5,20.0,4.725
J225302+1650.4, f090,1509319770.0,60.8,19.2,3.1666666666666665
J225302+1650.4, f090,1510706545.0,235.5,19.7,11.954314720812183
J225302+1650.4, f150,1510706554.0,129.3,36.0,3.591666666666667
J225302+1650.4, f090,1510707395.0,210.8,21.6,9.75925925925926
J051922-0720.5, f090,1511317488.0,103.6,24.7,4.194331983805668
J051922-0720.5, f090,1511317840.0,122.5,24.1,5.08298755186722
J051922-0720.5, f150,1511491813.0,128.7,37.6,3.4228723404255317
J051922-0720.5, f090,1511491815.0,200.9,29.9,6.719063545150502
J051922-0720.5, f150,1511492099.0,228.1,36.8,6.198369565217392
J051922-0720.5, f090,1511492108.0,214.0,27.0,7.925925925925926
J011636-0229.8, f090,1527762967.0,169.0,32.2,5.248447204968944
J011636-0229.8, f150,1527762970.0,165.6,39.5,4.192405063291139
J011636-0229.8, f090,1527763310.0,187.6,26.8,7.0
J200759+1609.9, f090,1536709185.0,355.0,21.7,16.359447004608295
J200759+1609.9, f150,1536709190.0,273.6,28.5,9.600000000000001
J200759+1609.9, f220,1536709202.0,207.9,63.4,3.279179810725552
J200759+1609.9, f090,1536709857.0,416.3,20.7,20.11111111111111
J200759+1609.9, f150,1536709866.0,353.5,25.7,13.754863813229573
J200759+1609.9, f090,1536796662.0,191.2,22.7,8.422907488986784
J200759+1609.9, f090,1536797524.0,149.2,27.8,5.366906474820143
J200759+1609.9, f150,1536894720.0,108.7,32.0,3.396875
J200759+1609.9, f090,1536894720.0,119.1,25.2,4.726190476190476
J200759+1609.9, f090,1536979306.0,155.5,32.9,4.726443768996961
J200759+1609.9, f090,1537055155.0,92.5,23.0,4.021739130434782
J200759+1609.9, f150,1537055968.0,95.8,27.9,3.4336917562724016
J200759+1609.9, f090,1537055969.0,84.7,20.3,4.172413793103448
J200759+1609.9, f150,1537839500.0,146.4,44.2,3.3122171945701355
