Biermann_Name,Sequence,Status
J175954+104419,1,matched
J142555+141201,2,matched
J142556+141210,2,matched
J203622+121538,3,matched
J224500-331529,4,matched
J225303+165023,5,matched
J225302+165012,5,matched
J051922-072036,6,matched
J051921-072041,6,matched
J011636-022950,7,matched
J200800+160955,8,matched
J192832-350757,9,matched
J192832-350757,9,matched
J130046+122233,10,matched
J050048-571534,11,matched
J085814+194546,12,not detected
J101936+195218,13,matched
J130530+124936,14,matched
J130529+124937,14,matched
J033647+003511,15,matched
J033647+003512,15,matched
J033647+003510,15,matched
J125045+113329,16,matched
J174147+022842,17,matched
J181516-492748,18,matched
J180723+194223,19,matched
J040942-075325,20,matched
J193939-060344,21,matched
J035830-544640,22,matched
J165122-005006,23,matched
J173353+165508,24,matched
J204747-363544,25,matched
J194951-363523,26,matched
J001309+053532,27,matched
