star_name,frequency,time,amplitude,uncertainty,snr
J142555+1412.0, f090,1505681456.0,110.0,16.9,6.508875739644971
J142555+1412.0, f090,1505682038.0,78.4,24.1,3.2531120331950207
J142555+1412.0, f090,1505755026.0,131.5,15.4,8.53896103896104
J142555+1412.0, f150,1505755576.0,108.3,20.9,5.181818181818182
J142555+1412.0, f090,1505768142.0,64.6,15.5,4.16774193548387
J225302+1650.4, f090,1507162863.0,79.3,21.2,3.740566037735849
J225302+1650.4, f150,1507251240.0,74.7,24.8,3.0120967741935485
J225302+1650.4, f090,1509319770.0,60.8,19.2,3.1666666666666665
J051922-0720.5, f090,1511317488.0,103.6,24.7,4.194331983805668
J051922-0720.5, f090,1511317840.0,122.5,24.1,5.08298755186722
J200759+1609.9, f090,1536796662.0,191.2,22.7,8.422907488986784
J200759+1609.9, f090,1536797524.0,149.2,27.8,5.366906474820143
J200759+1609.9, f150,1536894720.0,108.7,32.0,3.396875
J200759+1609.9, f090,1536894720.0,119.1,25.2,4.726190476190476
J200759+1609.9, f090,1536979306.0,155.5,32.9,4.726443768996961
J200759+1609.9, f090,1537055155.0,92.5,23.0,4.021739130434782
J200759+1609.9, f150,1537055968.0,95.8,27.9,3.4336917562724016
J200759+1609.9, f090,1537055969.0,84.7,20.3,4.172413793103448
J200759+1609.9, f150,1537839500.0,146.4,44.2,3.3122171945701355
J192831-3507.9, f090,1538534292.0,83.2,27.5,3.0254545454545454
J142555+1412.1, f220,1540233775.0,359.0,109.6,3.2755474452554747
J142555+1412.1, f090,1542889831.0,142.6,16.1,8.857142857142856
J142555+1412.1, f090,1544184701.0,66.6,17.9,3.7206703910614527
J130046+1222.5, f150,1544452664.0,77.1,25.2,3.0595238095238093
J130529+1249.6, f150,1552635500.0,88.9,21.1,4.213270142180095
J130529+1249.6, f090,1552635514.0,158.2,18.0,8.788888888888888
J130529+1249.6, f090,1552636038.0,134.6,22.5,5.982222222222222
J130529+1249.6, f150,1552636051.0,103.4,25.0,4.136
J130529+1249.6, f150,1552707412.0,127.4,34.9,3.6504297994269344
J130529+1249.6, f150,1555911287.0,122.5,39.4,3.1091370558375635
J225302+1650.2, f090,1556362547.0,74.7,23.2,3.219827586206897
J225302+1650.2, f090,1560156548.0,70.9,20.9,3.392344497607656
J225302+1650.2, f090,1560843091.0,72.4,23.6,3.067796610169492
J225302+1650.2, f090,1560843620.0,75.3,21.2,3.55188679245283
J225302+1650.2, f090,1561105976.0,79.1,20.7,3.821256038647343
J225302+1650.2, f090,1561190578.0,59.1,19.1,3.094240837696335
J225302+1650.2, f090,1562139796.0,74.7,23.2,3.219827586206897
J225302+1650.2, f090,1563258502.0,59.1,18.8,3.1436170212765955
J130529+1249.6, f090,1564870807.0,52.2,16.6,3.144578313253012
J130529+1249.6, f090,1565028835.0,71.7,22.3,3.2152466367713006
J130529+1249.6, f090,1565114996.0,71.6,20.6,3.475728155339805
J130529+1249.6, f090,1565115427.0,72.0,18.2,3.956043956043956
J033647+0035.2, f090,1565529935.0,281.3,28.1,10.01067615658363
J033647+0035.2, f150,1565529937.0,133.6,38.0,3.5157894736842104
J033646+0035.1, f090,1565529942.0,282.7,28.0,10.096428571428572
J033646+0035.1, f150,1565529954.0,133.6,38.1,3.506561679790026
J033646+0035.1, f150,1565530292.0,144.6,41.9,3.451073985680191
J033647+0035.2, f090,1565530293.0,246.0,28.9,8.512110726643598
J033647+0035.2, f150,1565530296.0,144.8,42.0,3.447619047619048
J033646+0035.1, f090,1565530297.0,246.2,28.9,8.519031141868512
