Star Name,Event ID,Band,Intensity (mJy),Pol Amplitude (mJy),3-Sigma Limit (mJy),Max Pol Fraction
J001309+0535.5,27,f090,157.6,68.3,111.52,0.7076
J001309+0535.5,27,f150,168.7,38.9,116.79,0.6923
J001309+0535.5,27,f150,259.0,38.9,116.79,0.4509
J011636-0229.8,7,f090,169.0,47.36,54.91,0.3249
J011636-0229.8,7,f150,165.6,25.24,62.85,0.3795
J011636-0229.8,7,f090,187.6,47.36,54.91,0.2927
J033646+0035.1,15,f150,387.7,47.61,52.52,0.1355
J033646+0035.1,15,f150,384.1,47.61,52.52,0.1367
J033646+0035.1,15,f150,222.2,47.61,52.52,0.2363
J033646+0035.1,15,f090,521.6,57.75,45.13,0.0865
J033646+0035.1,15,f150,227.7,47.61,52.52,0.2306
J033646+0035.1,15,f090,522.1,57.75,45.13,0.0864
J033646+0035.1,15,f090,281.3,57.75,45.13,0.1604
J033646+0035.1,15,f150,133.6,47.61,52.52,0.3931
J033646+0035.1,15,f090,282.7,57.75,45.13,0.1596
J033646+0035.1,15,f150,133.6,47.61,52.52,0.3931
J033646+0035.1,15,f150,144.6,47.61,52.52,0.3632
J033646+0035.1,15,f090,246.0,57.75,45.13,0.1835
J033646+0035.1,15,f150,144.8,47.61,52.52,0.3627
J033646+0035.1,15,f090,246.2,57.75,45.13,0.1833
J033646+0035.1,15,f090,144.8,14.72,61.77,0.4266
J033646+0035.1,15,f090,147.2,14.72,61.77,0.4196
J033646+0035.1,15,f090,103.6,14.72,61.77,0.5962
J033646+0035.1,15,f150,103.1,52.24,64.35,0.6241
J033646+0035.1,15,f150,106.9,52.24,64.35,0.6019
J033646+0035.1,15,f090,101.5,14.72,61.77,0.6086
J033646+0035.1,15,f090,198.5,31.22,53.79,0.271
J033646+0035.1,15,f150,150.1,30.48,64.64,0.4306
J033646+0035.1,15,f150,149.7,30.48,64.64,0.4318
J033646+0035.1,15,f090,201.2,31.22,53.79,0.2673
J033646+0035.1,15,f090,155.3,31.22,53.79,0.3464
J033646+0035.1,15,f090,156.4,31.22,53.79,0.3439
J033646+0035.1,15,f150,478.5,37.0,58.08,0.1214
J033646+0035.1,15,f090,692.9,12.09,52.24,0.0754
J033646+0035.1,15,f090,690.1,12.09,52.24,0.0757
J033646+0035.1,15,f150,479.4,37.0,58.08,0.1212
J033646+0035.1,15,f150,420.6,37.0,58.08,0.1381
J033646+0035.1,15,f150,412.7,37.0,58.08,0.1407
J033646+0035.1,15,f220,260.2,127.57,217.96,0.8377
J033646+0035.1,15,f090,641.8,12.09,52.24,0.0814
J033646+0035.1,15,f090,639.2,12.09,52.24,0.0817
J033646+0035.1,15,f150,422.3,37.0,58.08,0.1375
J033646+0035.1,15,f150,421.9,37.0,58.08,0.1377
J033646+0035.1,15,f220,265.1,127.57,217.96,0.8222
J033646+0035.1,15,f150,101.7,28.74,64.71,0.6363
J033646+0035.1,15,f150,261.4,54.46,110.01,0.4208
J033646+0035.1,15,f090,625.0,14.98,103.92,0.1663
J033646+0035.1,15,f150,351.2,54.46,110.01,0.3132
J033646+0035.1,15,f090,318.4,25.6,99.76,0.3133
J033646+0035.1,15,f150,143.5,100.68,124.9,0.8704
J035829-5446.6,22,f030,573.2,133.22,205.11,0.3578
J035829-5446.6,22,f150,115.2,31.16,89.12,0.7736
J035829-5446.6,22,f150,138.2,8.27,58.52,0.4235
J035829-5446.6,22,f220,208.3,73.32,162.65,0.7809
J035829-5446.6,22,f150,80.0,8.27,58.52,0.7315
J035829-5446.6,22,f220,372.4,34.51,304.48,0.8176
J035829-5446.6,22,f220,201.1,126.04,242.41,1.2054
J035829-5446.6,22,f150,212.1,14.2,81.32,0.3834
J035829-5446.6,22,f090,130.3,73.76,85.88,0.6591
J035829-5446.6,22,f150,198.0,14.2,81.32,0.4107
J035829-5446.6,22,f150,124.3,36.74,50.23,0.4041
J035829-5446.6,22,f150,228.5,36.74,50.23,0.2198
J035829-5446.6,22,f150,221.1,36.74,50.23,0.2272
J035829-5446.6,22,f090,83.2,23.86,56.05,0.6737
J035829-5446.6,22,f220,208.1,33.33,132.08,0.6347
J035829-5446.6,22,f220,397.8,33.33,132.08,0.332
J035829-5446.6,22,f150,262.4,36.74,50.23,0.1914
J035829-5446.6,22,f090,83.1,23.86,56.05,0.6745
J035829-5446.6,22,f150,193.0,36.74,50.23,0.2603
J035829-5446.6,22,f150,290.4,30.96,95.92,0.3303
J035829-5446.6,22,f150,191.7,30.96,95.92,0.5004
J035829-5446.6,22,f090,124.7,19.6,89.04,0.714
J035829-5446.6,22,f090,146.7,39.05,93.54,0.6376
J035829-5446.6,22,f150,237.4,34.11,110.81,0.4668
J035829-5446.6,22,f150,241.4,15.55,51.16,0.2119
J035829-5446.6,22,f150,215.8,15.55,51.16,0.2371
J035829-5446.6,22,f150,257.5,15.55,51.16,0.1987
J035829-5446.6,22,f090,150.1,33.14,51.33,0.342
J035829-5446.6,22,f220,442.1,62.92,138.72,0.3138
J035829-5446.6,22,f090,152.8,33.14,51.33,0.3359
J035829-5446.6,22,f220,306.2,62.92,138.72,0.4531
J035829-5446.6,22,f150,261.3,15.55,51.16,0.1958
J035829-5446.6,22,f150,233.4,15.55,51.16,0.2192
J035829-5446.6,22,f150,209.1,26.65,103.51,0.495
J035829-5446.6,22,f090,124.2,21.93,90.17,0.726
J035829-5446.6,22,f090,132.3,6.72,58.26,0.4404
J035829-5446.6,22,f220,322.8,136.3,356.92,1.1057
J035829-5446.6,22,f150,228.6,6.22,65.17,0.2851
J035829-5446.6,22,f150,235.6,6.22,65.17,0.2766
J035829-5446.6,22,f150,216.8,6.22,65.17,0.3006
J035829-5446.6,22,f090,132.8,6.72,58.26,0.4387
J035829-5446.6,22,f150,215.8,6.22,65.17,0.302
J035829-5446.6,22,f090,179.0,22.06,87.53,0.489
J035829-5446.6,22,f220,396.7,34.71,343.39,0.8656
J035829-5446.6,22,f150,257.7,28.6,97.32,0.3776
J035829-5446.6,22,f150,182.3,13.75,87.87,0.482
J035829-5446.6,22,f150,234.6,13.75,87.87,0.3746
J035829-5446.6,22,f090,163.2,23.86,82.92,0.5081
J035829-5446.6,22,f090,144.0,3.19,89.47,0.6213
J035829-5446.6,22,f150,235.4,28.09,102.54,0.4356
J035829-5446.6,22,f150,161.0,9.11,77.56,0.4818
J035829-5446.6,22,f090,119.6,2.96,67.35,0.5631
J035829-5446.6,22,f220,253.4,148.86,306.24,1.2085
J035829-5446.6,22,f150,233.6,9.11,77.56,0.332
J035829-5446.6,22,f090,123.6,2.96,67.35,0.5449
J035829-5446.6,22,f150,173.8,9.11,77.56,0.4463
J035829-5446.6,22,f150,197.9,27.64,79.77,0.4031
J035829-5446.6,22,f090,137.6,16.89,79.6,0.5785
J035829-5446.6,22,f150,139.6,27.64,79.77,0.5714
J035829-5446.6,22,f220,215.2,48.1,215.24,1.0002
J035829-5446.6,22,f090,193.6,13.37,89.94,0.4645
J035829-5446.6,22,f150,133.1,72.9,114.53,0.8605
J035829-5446.6,22,f090,133.1,28.4,91.6,0.6882
J040942-0753.4,20,f150,168.0,41.8,81.87,0.4873
J040942-0753.4,20,f090,218.9,24.76,80.01,0.3655
J040942-0753.4,20,f150,134.3,48.77,100.66,0.7495
J040942-0753.4,20,f090,160.0,24.76,80.01,0.5001
J050047-5715.6,11,f090,210.2,4.03,38.29,0.1821
J050047-5715.6,11,f150,166.4,19.51,44.71,0.2687
J050047-5715.6,11,f150,146.4,19.51,44.71,0.3054
J050047-5715.6,11,f090,112.4,4.03,38.29,0.3406
