star_name,biermann_event,frequency,time,amplitude,uncertainty,snr
J142555+1412.0,"2a, 2b", f090,1505755026.0,131.5,15.4,8.53896103896104
J142555+1412.0,"2a, 2b", f150,1505755576.0,108.3,20.9,5.181818181818182
J142555+1412.0,"2a, 2b", f090,1505768142.0,64.6,15.5,4.16774193548387
J225302+1650.4,"5a, 5b", f090,1507162863.0,79.3,21.2,3.740566037735849
J225302+1650.4,"5a, 5b", f150,1507251240.0,74.7,24.8,3.0120967741935485
J225302+1650.4,"5a, 5b", f090,1509319770.0,60.8,19.2,3.1666666666666665
J200759+1609.9,8, f090,1536796662.0,191.2,22.7,8.422907488986784
J200759+1609.9,8, f090,1536797524.0,149.2,27.8,5.366906474820143
J200759+1609.9,8, f150,1536894720.0,108.7,32.0,3.396875
J200759+1609.9,8, f090,1536894720.0,119.1,25.2,4.726190476190476
J200759+1609.9,8, f090,1536979306.0,155.5,32.9,4.726443768996961
J200759+1609.9,8, f090,1537055155.0,92.5,23.0,4.021739130434782
J200759+1609.9,8, f150,1537055968.0,95.8,27.9,3.4336917562724016
J200759+1609.9,8, f090,1537055969.0,84.7,20.3,4.172413793103448
J200759+1609.9,8, f150,1537839500.0,146.4,44.2,3.3122171945701355
J142555+1412.1,"2a, 2b", f220,1540233775.0,359.0,109.6,3.2755474452554747
J142555+1412.1,"2a, 2b", f090,1544184701.0,66.6,17.9,3.7206703910614527
J130046+1222.5,10, f150,1544452664.0,77.1,25.2,3.0595238095238093
J130529+1249.6,"14a, 14b", f150,1555911287.0,122.5,39.4,3.1091370558375635
J225302+1650.2,"5a, 5b", f090,1556362547.0,74.7,23.2,3.219827586206897
J225302+1650.2,"5a, 5b", f090,1560156548.0,70.9,20.9,3.392344497607656
J225302+1650.2,"5a, 5b", f090,1560843091.0,72.4,23.6,3.067796610169492
J225302+1650.2,"5a, 5b", f090,1560843620.0,75.3,21.2,3.55188679245283
J225302+1650.2,"5a, 5b", f090,1561105976.0,79.1,20.7,3.821256038647343
J225302+1650.2,"5a, 5b", f090,1561190578.0,59.1,19.1,3.094240837696335
J225302+1650.2,"5a, 5b", f090,1562139796.0,74.7,23.2,3.219827586206897
J225302+1650.2,"5a, 5b", f090,1563258502.0,59.1,18.8,3.1436170212765955
J192832-3507.9,"9a, 9b", f090,1565589488.0,129.8,23.1,5.61904761904762
J192832-3507.9,"9a, 9b", f150,1565589827.0,103.0,32.3,3.188854489164087
J192832-3507.9,"9a, 9b", f090,1565589839.0,108.0,26.9,4.014869888475837
J033647+0035.2,"15a, 15b, 15c", f090,1565789900.0,144.8,37.0,3.913513513513514
J033646+0035.1,"15a, 15b, 15c", f090,1565789930.0,147.2,37.0,3.978378378378378
J033647+0035.2,"15a, 15b, 15c", f090,1565790195.0,103.6,28.3,3.6607773851590095
J033647+0035.2,"15a, 15b, 15c", f150,1565790197.0,103.1,34.3,3.005830903790088
J033646+0035.1,"15a, 15b, 15c", f150,1565790201.0,106.9,34.3,3.1166180758017497
J033646+0035.1,"15a, 15b, 15c", f090,1565790206.0,101.5,28.3,3.586572438162544
J033647+0035.2,"15a, 15b, 15c", f150,1569665769.0,478.5,32.7,14.633027522935778
J033647+0035.2,"15a, 15b, 15c", f090,1569665779.0,692.9,28.0,24.74642857142857
J033646+0035.1,"15a, 15b, 15c", f090,1569665811.0,690.1,28.0,24.64642857142857
J033646+0035.1,"15a, 15b, 15c", f150,1569665822.0,479.4,32.6,14.705521472392636
J033647+0035.2,"15a, 15b, 15c", f150,1569666116.0,420.6,46.3,9.084233261339094
J033646+0035.1,"15a, 15b, 15c", f150,1569666149.0,412.7,46.2,8.932900432900432
J033647+0035.2,"15a, 15b, 15c", f220,1569666162.0,260.2,76.7,3.392438070404172
J033647+0035.2,"15a, 15b, 15c", f090,1569666176.0,641.8,25.9,24.77992277992277
J033646+0035.1,"15a, 15b, 15c", f090,1569666176.0,639.2,25.9,24.67953667953668
J033646+0035.1,"15a, 15b, 15c", f150,1569666179.0,422.3,33.0,12.796969696969697
J033647+0035.2,"15a, 15b, 15c", f150,1569666180.0,421.9,33.1,12.74622356495468
J033646+0035.1,"15a, 15b, 15c", f220,1569666189.0,265.1,76.5,3.465359477124183
J033647+0035.2,"15a, 15b, 15c", f150,1569820274.0,101.7,32.8,3.1006097560975614
J040942-0753.4,20, f150,1572577606.0,168.0,55.8,3.010752688172043
J165122-0050.1,23, f150,1596145161.0,88.2,26.6,3.3157894736842106
J173353+1655.1,24, f150,1602971386.0,150.2,42.4,3.542452830188679
J173353+1655.1,24, f150,1602971440.0,201.2,24.8,8.11290322580645
J173353+1655.1,24, f090,1602971449.0,300.4,19.5,15.405128205128204
J165122-0050.1,23, f090,1602973287.0,78.6,26.2,3.0
J204746-3635.7,25, f220,1603937603.0,222.0,72.1,3.079056865464633
J204746-3635.7,25, f030,1604172715.0,491.2,152.0,3.231578947368421
J204746-3635.7,25, f030,1606005177.0,462.9,154.2,3.001945525291829
